date	Channel 1
08-12-2014 192717	10.3
08-12-2014 192817	10.0
08-12-2014 192917	10.1
08-12-2014 193017	10.1
08-12-2014 193117	10.4
08-12-2014 193217	10.2
08-12-2014 193317	10.2
08-12-2014 193417	10.1
08-12-2014 193517	10.2
08-12-2014 193617	10.3
08-12-2014 193717	10.1
08-12-2014 193817	10.2
08-12-2014 193917	10.2
08-12-2014 194018	10.0
08-12-2014 194118	10.0
08-12-2014 194218	9.9
08-12-2014 194318	10.3
08-12-2014 194418	9.9
08-12-2014 194518	9.9
08-12-2014 194618	9.9
08-12-2014 194718	10.2
08-12-2014 194818	9.9
08-12-2014 194918	10.2
08-12-2014 195018	10.2
08-12-2014 195118	10.0
08-12-2014 195218	9.9
08-12-2014 195318	9.7
08-12-2014 195418	9.9
08-12-2014 195518	9.8
08-12-2014 195618	9.9
08-12-2014 195719	9.9
08-12-2014 195819	10.0
08-12-2014 195919	9.8
08-12-2014 200019	9.9
08-12-2014 200119	9.9
08-12-2014 200219	9.9
08-12-2014 200319	9.7
08-12-2014 200419	9.8
08-12-2014 200519	9.7
08-12-2014 200619	9.6
08-12-2014 200719	9.8
08-12-2014 200819	9.6
08-12-2014 200919	9.5
08-12-2014 201019	9.8
08-12-2014 201119	9.5
08-12-2014 201219	9.8
08-12-2014 201320	9.7
08-12-2014 201420	9.5
08-12-2014 201520	9.7
08-12-2014 201620	9.5
08-12-2014 201720	9.5
08-12-2014 201820	9.5
08-12-2014 201920	9.4
08-12-2014 202020	9.4
08-12-2014 202120	9.4
08-12-2014 202220	9.4
08-12-2014 202320	9.3
08-12-2014 202420	9.5
08-12-2014 202520	9.5
08-12-2014 202620	9.5
08-12-2014 202720	9.5
08-12-2014 202820	9.6
08-12-2014 202920	9.6
08-12-2014 203021	9.2
08-12-2014 203121	9.5
08-12-2014 203221	9.5
08-12-2014 203321	9.3
08-12-2014 203421	9.3
08-12-2014 203521	9.6
08-12-2014 203621	9.5
08-12-2014 203721	9.3
08-12-2014 203821	9.3
08-12-2014 203921	9.1
08-12-2014 204021	9.1
08-12-2014 204121	9.2
08-12-2014 204221	9.3
08-12-2014 204321	8.9
08-12-2014 204421	9.1
08-12-2014 204521	9.1
08-12-2014 204622	9.3
08-12-2014 204722	9.1
08-12-2014 204822	9.3
08-12-2014 204922	9.1
08-12-2014 205022	9.0
08-12-2014 205122	9.2
08-12-2014 205222	9.1
08-12-2014 205322	9.0
08-12-2014 205422	9.0
08-12-2014 205522	9.1
08-12-2014 205622	9.1
08-12-2014 205722	9.1
08-12-2014 205822	9.2
08-12-2014 205922	9.1
08-12-2014 210022	8.7
08-12-2014 210122	9.3
08-12-2014 210222	9.1
08-12-2014 210323	9.1
08-12-2014 210423	9.0
08-12-2014 210523	8.9
08-12-2014 210623	9.0
08-12-2014 210723	8.9
08-12-2014 210823	8.9
